scenario,cpu,baseline,optimized,n_baseline,n_optimized,U,p_value,p_value_holm,AUC_prob_opt_lt_base,cliffs_delta
content,2.0,B0,I1,15,15,97.5,0.0820716362217106,0.6565730897736848,0.43333333333333335,0.13333333333333333
content,2.0,B0,I2,15,15,144.5,0.9593523662257393,1.0,0.6422222222222222,-0.2311111111111111
content,2.0,B0,I2+I3,15,15,136.0,0.9118518127797444,1.0,0.6044444444444445,-0.16444444444444445
content,2.0,B0,I2+I3+I4,15,15,105.0,0.2882646315462334,1.0,0.4666666666666667,0.07555555555555556
content,2.0,B0,I2+I4,15,15,105.0,0.2882646315462334,1.0,0.4666666666666667,0.07555555555555556
content,2.0,B0,I3,15,15,105.0,0.2882646315462334,1.0,0.4666666666666667,0.07555555555555556
content,2.0,B0,I3+I4,15,15,121.0,0.7178483077658473,1.0,0.5377777777777778,-0.04888888888888889
content,2.0,B0,I4,15,15,112.5,0.514041433218201,1.0,0.5,0.017777777777777778
content,4.0,B0,I1,15,15,134.0,0.9601991647071859,1.0,0.5955555555555555,-0.19111111111111112
content,4.0,B0,I2,15,15,58.5,0.006864622443909362,0.034323112219546814,0.26,0.7288888888888889
content,4.0,B0,I2+I3,15,15,29.5,5.031096105981841e-05,0.0003018657663589105,0.13111111111111112,0.8622222222222222
content,4.0,B0,I2+I3+I4,15,15,15.0,1.7151970675632229e-06,1.3721576540505783e-05,0.06666666666666667,0.9288888888888889
content,4.0,B0,I2+I4,15,15,22.5,8.784011535216561e-06,6.148808074651592e-05,0.1,0.9244444444444444
content,4.0,B0,I3,15,15,105.0,0.2882646315462334,1.0,0.4666666666666667,0.8755555555555555
content,4.0,B0,I3+I4,15,15,141.0,0.9792206463515201,1.0,0.6266666666666667,-0.25333333333333335
content,4.0,B0,I4,15,15,141.0,0.9792206463515201,1.0,0.6266666666666667,-0.25333333333333335
content,6.0,B0,I1,15,15,102.5,0.32508018219962176,1.0,0.45555555555555555,0.4444444444444444
content,6.0,B0,I2,15,15,42.5,0.0009978776224844046,0.004989388112422023,0.18888888888888888,0.9333333333333333
content,6.0,B0,I2+I3,15,15,32.5,0.0002213718580271656,0.0013282311481629936,0.14444444444444443,0.9555555555555556
content,6.0,B0,I2+I3+I4,15,15,10.0,3.5523968495675946e-06,2.8419174796540757e-05,0.044444444444444446,1.0
content,6.0,B0,I2+I4,15,15,15.0,9.756093885799277e-06,6.829265720059495e-05,0.06666666666666667,1.0
content,6.0,B0,I3,15,15,112.5,0.510126425301476,1.0,0.5,0.4444444444444444
content,6.0,B0,I3+I4,15,15,125.0,0.7438106811314132,1.0,0.5555555555555556,0.37777777777777777
content,6.0,B0,I4,15,15,125.0,0.7438106811314132,1.0,0.5555555555555556,0.37777777777777777
content,8.0,B0,I1,15,15,120.0,0.6503979526190624,1.0,0.5333333333333333,0.25333333333333335
content,8.0,B0,I2,15,15,0.0,8.038397225438224e-07,5.651528907239555e-06,0.0,1.0
content,8.0,B0,I2+I3,15,15,3.5,1.4164906169845263e-06,8.498943701907157e-06,0.015555555555555555,1.0
content,8.0,B0,I2+I3+I4,15,15,0.0,7.064411134049444e-07,5.651528907239555e-06,0.0,1.0
content,8.0,B0,I2+I4,15,15,3.5,1.5584722374311404e-06,8.498943701907157e-06,0.015555555555555555,1.0
content,8.0,B0,I3,15,15,146.5,0.9553086106396055,1.0,0.6511111111111111,0.12444444444444444
content,8.0,B0,I3+I4,15,15,135.0,0.8733420244681094,1.0,0.6,0.19111111111111112
content,8.0,B0,I4,15,15,135.0,0.8733420244681094,1.0,0.6,0.19111111111111112
dashboard,2.0,B0,I1,15,15,100.5,0.2927335486364288,0.5854670972728576,0.44666666666666666,0.6222222222222222
dashboard,2.0,B0,I2,15,15,27.5,8.915894921111475e-05,0.0006241126444778033,0.12222222222222222,0.9733333333333334
dashboard,2.0,B0,I2+I3,15,15,36.5,0.0004204544256481662,0.002522726553888997,0.1622222222222222,0.9555555555555556
dashboard,2.0,B0,I2+I3+I4,15,15,18.5,1.2818643509742998e-05,0.00010254914807794399,0.08222222222222222,0.9911111111111112
dashboard,2.0,B0,I2+I4,15,15,14.0,3.987483161934436e-06,3.588734845740993e-05,0.06222222222222222,1.0
dashboard,2.0,B0,I3,15,15,89.5,0.1437274983145373,0.4311824949436119,0.3977777777777778,0.6622222222222223
dashboard,2.0,B0,I3+I4,15,15,73.5,0.027634478083813935,0.11053791233525574,0.32666666666666666,0.7511111111111111
dashboard,2.0,B0,I4,15,15,106.0,0.3919962541210509,0.5854670972728576,0.4711111111111111,0.5955555555555555
dashboard,2.0,B0,I5,15,15,48.5,0.0024331256274393487,0.012165628137196743,0.21555555555555556,0.7822222222222223
dashboard,4.0,B0,I1,15,15,112.5,0.5095686826125531,1.0,0.5,0.21777777777777776
dashboard,4.0,B0,I2,15,15,0.0,7.271829363516831e-07,5.090280554461782e-06,0.0,1.0
dashboard,4.0,B0,I2+I3,15,15,0.0,5.216989034326972e-07,4.695290130894275e-06,0.0,1.0
dashboard,4.0,B0,I2+I3+I4,15,15,0.0,7.271829363516831e-07,5.090280554461782e-06,0.0,1.0
dashboard,4.0,B0,I2+I4,15,15,0.0,6.302182581668732e-07,5.0417460653349855e-06,0.0,1.0
dashboard,4.0,B0,I3,15,15,149.0,0.9533914964846886,1.0,0.6622222222222223,-0.013333333333333334
dashboard,4.0,B0,I3+I4,15,15,127.0,0.7574541695138881,1.0,0.5644444444444444,0.12
dashboard,4.0,B0,I4,15,15,116.0,0.575091696305096,1.0,0.5155555555555555,0.18666666666666668
dashboard,4.0,B0,I5,15,15,142.0,0.918683932484659,1.0,0.6311111111111111,0.04888888888888889
dashboard,6.0,B0,I1,15,15,91.0,0.1637465308225658,0.1965512000022801,0.40444444444444444,0.8
dashboard,6.0,B0,I2,15,15,0.0,4.2265488594481107e-07,3.3812390875584886e-06,0.0,1.0
dashboard,6.0,B0,I2+I3,15,15,0.0,5.361630742365132e-07,3.7531415196555925e-06,0.0,1.0
dashboard,6.0,B0,I2+I3+I4,15,15,0.0,3.1530902155264467e-07,2.837781193973802e-06,0.0,1.0
dashboard,6.0,B0,I2+I4,15,15,0.0,7.462841847010066e-07,4.47770510820604e-06,0.0,1.0
dashboard,6.0,B0,I3,15,15,71.5,0.02201802466566691,0.06605407399700074,0.31777777777777777,0.92
dashboard,6.0,B0,I3+I4,15,15,62.5,0.014354323842913222,0.05741729537165289,0.2777777777777778,0.8355555555555556
dashboard,6.0,B0,I4,15,15,87.0,0.09827560000114005,0.1965512000022801,0.38666666666666666,0.28
dashboard,6.0,B0,I5,15,15,22.5,3.114774450903165e-05,0.00015573872254515827,0.1,1.0
dashboard,8.0,B0,I1,15,15,127.5,0.796424675964375,1.0,0.5666666666666667,0.7022222222222222
dashboard,8.0,B0,I2,15,15,0.0,3.132378829555785e-07,2.819140946600206e-06,0.0,1.0
dashboard,8.0,B0,I2+I3,15,15,0.0,4.1082317799856037e-07,2.819140946600206e-06,0.0,1.0
dashboard,8.0,B0,I2+I3+I4,15,15,0.0,3.132378829555785e-07,2.819140946600206e-06,0.0,1.0
dashboard,8.0,B0,I2+I4,15,15,0.0,3.674321220350367e-07,2.819140946600206e-06,0.0,1.0
dashboard,8.0,B0,I3,15,15,149.0,0.9715737611901196,1.0,0.6622222222222223,-0.28444444444444444
dashboard,8.0,B0,I3+I4,15,15,132.5,0.8759638259967715,1.0,0.5888888888888889,-0.15555555555555556
dashboard,8.0,B0,I4,15,15,91.5,0.09505168405157449,0.47525842025787246,0.4066666666666667,0.9422222222222222
dashboard,8.0,B0,I5,15,15,91.5,0.09505168405157449,0.47525842025787246,0.4066666666666667,0.9422222222222222
form,2.0,B0,I1,15,15,131.5,0.7932603420678876,1.0,0.5844444444444444,0.3422222222222222
form,2.0,B0,I2,15,15,0.0,8.871380769665826e-07,6.209966538766079e-06,0.0,1.0
form,2.0,B0,I2+I3,15,15,0.0,1.1349844252338443e-06,6.209966538766079e-06,0.0,1.0
form,2.0,B0,I2+I3+I4,15,15,0.0,7.484322256792149e-07,5.987457805433719e-06,0.0,1.0
form,2.0,B0,I2+I4,15,15,0.0,1.0047101387887143e-06,6.209966538766079e-06,0.0,1.0
form,2.0,B0,I3,15,15,158.5,0.9738755051740108,1.0,0.7044444444444444,0.06666666666666667
form,2.0,B0,I3+I4,15,15,130.0,0.7763452252532348,1.0,0.5777777777777777,0.22666666666666666
form,2.0,B0,I4,15,15,143.0,0.9027561888688687,1.0,0.6355555555555555,0.28
form,4.0,B0,I1,15,15,36.0,0.0007528438353011956,0.0030113753412047825,0.16,0.7955555555555556
form,4.0,B0,I2,15,15,0.0,1.0409951807027694e-06,5.5191455848632125e-06,0.0,1.0
form,4.0,B0,I2+I3,15,15,0.0,6.246527243377034e-07,4.997221794701627e-06,0.0,1.0
form,4.0,B0,I2+I3+I4,15,15,0.0,7.768309661469452e-07,5.437816763028617e-06,0.0,1.0
form,4.0,B0,I2+I4,15,15,0.0,9.198575974772021e-07,5.5191455848632125e-06,0.0,1.0
form,4.0,B0,I3,15,15,107.5,0.4257954878945027,0.4257954878945027,0.4777777777777778,0.5422222222222223
form,4.0,B0,I3+I4,15,15,59.5,0.014394223124313309,0.028788446248626618,0.2644444444444444,0.7555555555555555
form,4.0,B0,I4,15,15,55.0,0.008892674084578172,0.026678022253734515,0.24444444444444444,0.7777777777777778
form,6.0,B0,I1,15,15,224.0,0.9999984941682716,1.0,0.9955555555555555,-0.9911111111111112
form,6.0,B0,I2,15,15,0.0,1.0297162046433283e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I3,15,15,0.0,1.0581063696758897e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I3+I4,15,15,0.0,1.0297162046433283e-06,7.208013432503298e-06,0.0,1.0
form,6.0,B0,I2+I4,15,15,0.0,4.6998230818273157e-07,3.7598584654618525e-06,0.0,1.0
form,6.0,B0,I3,15,15,172.5,0.9941291785112929,1.0,0.7666666666666667,-0.14222222222222222
form,6.0,B0,I3+I4,15,15,173.5,0.9947797909095505,1.0,0.7711111111111111,-0.14222222222222222
form,6.0,B0,I4,15,15,89.0,0.16613734501483013,0.6645493800593205,0.39555555555555555,0.4666666666666667
form,8.0,B0,I1,15,15,89.5,0.1749411561845805,0.5248234685537415,0.3977777777777778,0.48444444444444446
form,8.0,B0,I2,15,15,0.0,1.2036101474116068e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I3,15,15,0.0,1.197232403476903e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I3+I4,15,15,0.0,1.119850251114731e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I2+I4,15,15,0.0,1.3233247918064833e-06,8.958802008917848e-06,0.0,1.0
form,8.0,B0,I3,15,15,43.0,0.00209441664514087,0.00837766658056348,0.19111111111111112,0.8088888888888889
form,8.0,B0,I3+I4,15,15,101.5,0.33083164345109584,0.6616632869021917,0.45111111111111113,0.4444444444444444
form,8.0,B0,I4,15,15,110.0,0.4667283514543551,0.6616632869021917,0.4888888888888889,0.5377777777777778
